Player,Position,team,Birthday,Age,Height,Wingspan,Weight (lbs),Hand Width,Reach,Standing Vert (in),Max Vert (in),Lane (sec),Shuttle (sec),3/4 Sprint (sec),Ovr. Rank,Avg. Rank,ESPN,The Athletic,CBS Sports,Tankathon,The Ringer,No Ceilings,Bleacher Report,GP,GS,mp,MIN_per,pts,oreb,dreb,treb,ast,stl,blk,TOV,pfr,FGM,FGA,FG%,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,FTM,FTA,FT_per,TS_Per,PTS/36,OREB/36,DREB/36,TREB/36,AST/36,STL/36,BLK/36,TOV/36,PF/36,FGA/36,2PA/36,3PA/36,FTA/36,Info,eFG,ast/tov
"Williams, Cody",SF,Colorado,11/20/2004,19.54,"6'7.75""","7'1""",178,"9""","8'7""",31,35.5,11.17,2.93,3.06,11,11.57,12,9,16,11,10,7,16,24,18,28.4,0.7,11.9,0.7,2.3,3,1.6,0.6,0.7,2,2,4.5,8.1,0.552,3.8,6.4,0.588,0.7,1.7,0.415,2.3,3.2,0.714,0.707,15.1,0.9,2.9,3.8,2,0.8,0.9,2.5,2.5,5.7,8.1,2.2,4.1,https://www.sports-reference.com/cbb/players/cody-williams-2.html,59.877,0.8
"McCain, Jared",SG,Duke,2/20/2004,20.29,"6'3.25""","6'3.5""",203,"9.5""","8'2""",25.5,33,10.87,3.07,3.23,12,11.71,15,12,15,14,9,10,7,36,36,31.6,0.8,14.3,0.8,4.2,5,1.9,1.1,0.1,1.3,1.6,4.9,10.5,0.462,2.4,4.7,0.521,2.4,5.8,0.414,2.1,2.4,0.885,0.657,16.3,0.9,4.8,5.7,2.2,1.3,0.1,1.5,1.8,5.6,5.4,6.6,2.7,https://www.sports-reference.com/cbb/players/jared-mccain-2.html,58.095,1.461538462
"Carter, Devin",SG,Providence,3/18/2002,22.22,"6'3.5""","6'8.75""",193,"9""","8'2""",35,42,10.63,2.9,2.87,13,13.86,13,15,9,16,13,14,17,33,33,35.3,0.9,19.7,1,7.7,8.7,3.6,1.8,1,2.7,1.9,6.6,14,0.473,4.1,7.3,0.563,2.5,6.8,0.377,3.9,5.2,0.749,0.687,20.1,1,7.9,8.9,3.7,1.8,1,2.8,1.9,6.7,7.4,6.9,5.3,https://www.sports-reference.com/cbb/players/devin-carter-3.html,56.071,1.333333333
"Collier, Isaiah",PG,USC,10/8/2004,19.66,"6'3.75""",6'4.75,205,"9""","8'1.5""",30,34,10.77,2.9,3.04,14,14.57,21,14,12,15,16,16,8,27,26,30,0.8,16.3,0.6,2.3,2.9,4.3,1.5,0.2,3.3,2.4,5.7,11.6,0.49,4.7,8.7,0.543,1,3,0.338,3.9,5.8,0.673,0.685,19.6,0.7,2.8,3.5,5.2,1.8,0.2,4,2.9,6.8,10.4,3.6,7,https://www.sports-reference.com/cbb/players/isaiah-collier-2.html,53.448,1.303030303
"Walter, Ja'Kobe",SG,Baylor,9/4/2004,19.76,"6'5.5""","6'10""",198,"9.75""","8'6.5""",30.5,38.5,11,2.92,3.04,15,15.14,14,16,17,13,15,13,18,35,35,32.3,0.8,14.5,1.3,3.1,4.4,1.4,1.1,0.2,1.3,2.1,4.1,10.9,0.376,2,4.7,0.423,2.1,6.3,0.341,4.1,5.2,0.792,0.645,16.2,1.4,3.5,4.9,1.6,1.2,0.2,1.4,2.3,4.6,5.2,7,5.8,https://www.sports-reference.com/cbb/players/jakobe-walter-2.html,47.248,1.076923077
"Salaun, Tidjane",PF,France,8/10/2005,18.82,"6'9""","7'1""",203,,,,,,,,16,16.43,10,18,10,12,14,28,23,33,,22.7,0.6,9,1.4,2.7,4,1,1.2,0.2,1.5,2.5,2.9,7.9,0.373,1.5,3.6,0.425,1.4,4.2,0.329,1.7,2.2,0.767,0.546,14.3,2.2,4.3,6.3,1.6,1.9,0.3,2.4,4,4.6,5.7,6.7,3.5,https://www.basketball-reference.com/international/players/tidjane-salaun-1.html,45.57,0.666666667
"Filipowski, Kyle",PF,Duke,11/7/2003,20.58,"7'0.25""","6'10.5""",230,"9.5""","8'11""",27,32.5,11.43,2.93,3.19,17,18,20,13,14,17,26,15,21,36,36,30.4,0.8,16.4,2.2,6.1,8.3,2.8,1.1,1.5,2.1,3,6.1,12.1,0.505,5,9,0.559,1.1,3.1,0.348,3.1,4.6,0.671,0.662,19.4,2.6,7.2,9.8,3.3,1.3,1.8,2.5,3.6,7.2,10.7,3.7,5.4,https://www.sports-reference.com/cbb/players/kyle-filipowski-1.html,54.959,1.333333333
"da Silva, Tristan",PF,Colorado,5/15/2001,23.06,"6'9.5""",6'10.25,217,"9.5""","8'8.5""",28.5,35.5,10.81,2.82,3.09,18,20.43,17,19,30,19,19,17,22,34,34,33.8,0.8,16,0.9,4.1,5.1,2.4,1.1,0.6,1.8,2,5.8,11.8,0.493,3.9,7,0.559,1.9,4.8,0.395,2.5,3,0.835,0.657,17,1,4.4,5.4,2.6,1.2,0.6,1.9,2.1,6.2,7.5,5.1,3.2,https://www.sports-reference.com/cbb/players/tristan-dasilva-1.html,57.203,1.333333333
"Smith, Tyler",PF,G-League Ignite,11/2/2004,19.59,"6'10.25""","7'1""",224,"9""","8'9""",32,38,10.74,2.99,3.28,19,23.29,27,25,32,20,29,18,12,43,2,22.2,0.6,13.7,1.7,3.4,5.1,1.3,0.8,0.9,1.3,2.6,5,10.3,0.48,3.6,6.6,0.546,1.4,3.7,0.36,1.4,1.9,0.732,0.645,22.3,2.8,5.5,8.3,2.2,1.3,1.5,2,4.3,8,10.7,6.1,3.1,https://basketball.realgm.com/player/Tyler-Smith/Summary/170123,54.453,1.055555556
"Missi, Yves",C,Baylor,5/14/2004,20.06,"7'0""","7'2""",229,"10""","9'1.5""",31,38.5,11.45,3.12,3.12,20,23.29,23,23,22,18,21,30,26,34,32,22.9,0.6,10.7,2.6,3,5.6,0.4,0.6,1.5,1.1,2.4,4.1,6.7,0.614,4.1,6.7,0.614,0,0,0,2.5,4.1,0.616,0.767,16.8,4.1,4.7,8.8,0.6,0.9,2.4,1.7,3.8,6.4,10.5,0,6.4,https://www.sports-reference.com/cbb/players/yves-missi-2.html,61.194,0.363636364
"Furphy, Johnny",SF,Kansas,12/7/2004,19.5,"6'8.75""","6'8""",189,"9.5""","8'8.5""",25.5,32,11.15,3.17,3.2,21,23.43,18,17,21,22,36,22,28,33,19,24.1,0.6,9,1.3,3.6,4.9,1,0.9,0.3,0.8,2.1,2.9,6.2,0.466,1.6,2.5,0.642,1.3,3.8,0.352,1.9,2.5,0.765,0.688,13.4,1.9,5.4,7.3,1.5,1.3,0.4,1.2,3.1,4.3,3.7,5.7,3.7,https://www.sports-reference.com/cbb/players/johnny-furphy-1.html,57.258,1.25
"Edey, Zach",C,Purdue,5/14/2002,22.06,"7'5.25""","7'10.75""",299,"10.75""","9'7""",26,31.5,11.19,3.01,3.42,22,24.14,16,21,27,33,22,19,31,39,39,32,0.8,25.2,4.6,7.5,12.2,2,0.3,2.2,2.3,1.9,8.6,13.8,0.623,8.6,13.8,0.624,0,0.1,0.5,7.9,11.2,0.711,0.893,28.4,5.2,8.4,13.7,2.3,0.3,2.5,2.6,2.1,9.7,15.5,0.1,12.6,https://www.sports-reference.com/cbb/players/zach-edey-1.html,62.319,0.869565217
"Tyson, Jaylon",SF,California,12/2/2002,21.51,"6'6.75""","6'8""",218,"9.5""","8'6.5""",29.5,36.5,11.13,3.06,3.12,23,27,33,31,24,28,30,24,19,31,30,34.3,0.9,19.6,1.6,5.1,6.8,3.5,1.2,0.5,3.1,2.1,7.2,15.4,0.465,5.5,10.9,0.509,1.6,4.5,0.36,3.6,4.6,0.796,0.622,20.6,1.7,5.4,7.1,3.7,1.3,0.5,3.3,2.2,7.6,11.4,4.7,4.8,https://www.sports-reference.com/cbb/players/jaylon-tyson-1.html,51.948,1.129032258
"Ware, Kel'el",C,Indiana,4/20/2004,20.13,"7'1""","7'4.5""",230,"10.25""","9'4.5""",32.5,36,10.97,2.91,3.29,24,27.43,25,35,38,23,20,31,20,30,30,32.2,0.8,15.9,2.1,7.8,9.9,1.5,0.6,1.9,1.6,2,6.3,10.7,0.586,5.7,9.4,0.609,0.6,1.3,0.425,2.8,4.5,0.634,0.724,17.8,2.3,8.7,11.1,1.7,0.7,2.1,1.8,2.2,7,10.5,1.5,5,https://www.sports-reference.com/cbb/players/kelel-ware-1.html,61.682,0.9375
"Kolek, Tyler",PG,Marquette,3/27/2001,23.19,"6'2.5""",6'2.75,197,"9.5""","7'11""",27,34,10.97,3.08,3.27,25,28.57,29,20,33,26,35,27,30,31,31,33,0.8,15.3,0.7,4.2,4.9,7.7,1.6,0.2,2.9,1,5.6,11.3,0.496,4.1,7.4,0.552,1.5,3.9,0.388,2.6,3,0.851,0.655,16.7,0.8,4.6,5.3,8.4,1.7,0.2,3.2,1.1,6.1,8.1,4.3,3.3,https://www.sports-reference.com/cbb/players/tyler-kolek-1.html,56.195,2.655172414
"Carrington, Carlton",PG,Pittsburgh,7/21/2005,18.88,"6'5""","6'8""",195,"9.25""","8'3""",28.5,36.5,11.28,2.99,3.16,26,28.57,22,22,20,35,23,40,38,33,33,33.2,0.8,13.8,0.5,4.7,5.2,4.1,0.6,0.2,1.9,2.4,4.8,11.7,0.412,2.8,5.6,0.511,2,6.1,0.322,2.2,2.8,0.785,0.573,15,0.5,5.1,5.6,4.4,0.7,0.2,2.1,2.6,5.2,6.1,6.6,3,https://www.sports-reference.com/cbb/players/carlton-carrington-1.html,49.573,2.157894737
"George, Kyshawn",SF,Miami,12/12/2003,20.48,"6'8.25""","6'10.25""",209,"10.25""","8'9""",27,32,11.9,2.91,3.32,27,28.86,19,30,26,31,32,21,43,31,16,23,0.6,7.6,0.5,2.6,3,2.2,0.9,0.4,1.5,1.8,2.6,6.1,0.426,0.9,1.9,0.467,1.7,4.2,0.408,0.7,0.9,0.778,0.59,11.9,0.8,4.1,4.7,3.4,1.4,0.6,2.3,2.8,4.1,3,6.6,1.4,https://www.sports-reference.com/cbb/players/kyshawn-george-1.html,56.557,1.466666667
"Holmes II, DaRon",C,Dayton,8/15/2002,21.81,"6'10""","7'1""",236,"9""","9'0""",27.5,34,11.2,3.03,3.25,28,29.71,52,26,18,25,28,23,36,33,33,32.5,0.8,20.4,1.7,6.8,8.5,2.6,0.9,2.1,2.2,2,6.6,12.1,0.544,5.6,9.6,0.585,1,2.5,0.386,6.2,8.8,0.713,0.822,22.6,1.9,7.5,9.4,2.9,1,2.3,2.4,2.2,7.3,10.6,2.8,9.7,https://www.sports-reference.com/cbb/players/daron-holmesii-1.html,58.678,1.181818182
"Klintman, Bobi",PF,Australia,3/6/2003,21.25,"6'10""","6'11""",212,"10""","8'10.5""",26.5,32.5,11.49,3.21,3.23,29,29.86,24,24,25,24,27,51,34,23,,21.3,0.5,9.7,0.7,4.1,4.8,0.7,0.8,0.5,1.6,2.7,3.2,7.3,0.443,1.9,3.6,0.53,1.3,3.7,0.357,2,2.5,0.793,0.634,16.4,1.2,6.9,8.1,1.2,1.4,0.8,2.7,4.6,5.4,6.1,6.3,4.2,https://www.basketball-reference.com/international/players/bobi-klintman-1.html,52.74,0.4375
"Dunn, Ryan",PF,Virginia,1/7/2003,21.41,"6'7.5""","7'1.5""",214,"9.75""","8'7""",32,38.5,10.99,2.88,3.12,30,30.43,32,32,23,27,40,20,39,34,34,27.5,0.7,8.1,2.2,4.7,6.9,0.8,1.3,2.3,0.8,2.1,3.4,6.1,0.548,3.1,5.1,0.618,0.2,1,0.2,1.2,2.3,0.532,0.639,10.6,2.9,6.2,9,1,1.7,3,1,2.7,4.5,6.7,1.3,3,https://www.sports-reference.com/cbb/players/ryan-dunn-1.html,57.377,1
"McCullar Jr, Kevin",SF,Kansas,3/15/2001,23.23,"6'6.5""","6'9""",206,"9.5""","8'7""",,,,,,31,34.71,30,49,44,29,34,25,32,26,26,34.2,0.9,18.3,0.8,5.2,6,4.1,1.5,0.4,2.5,1.9,6.1,13.5,0.454,4.6,9,0.515,1.5,4.5,0.333,4.6,5.7,0.805,0.66,19.3,0.8,5.5,6.3,4.3,1.6,0.4,2.6,2,6.4,9.5,4.7,6,https://www.sports-reference.com/cbb/players/kevin-mccullar-1.html,50.741,1.64
"Shannon Jr, Terrence",SF,Illinois,7/30/2000,23.85,"6'7""","6'8.75""",219,"8.5""","8'4""",,,,,,32,35.71,31,36,29,21,38,81,14,32,31,33.9,0.8,23,0.8,3.2,4,2.3,1,0.9,2,2.2,6.8,14.4,0.475,4.4,7.8,0.573,2.4,6.7,0.362,6.9,8.6,0.801,0.78,24.4,0.8,3.4,4.2,2.4,1.1,1,2.1,2.3,7.2,8.3,7.1,9.1,https://www.sports-reference.com/cbb/players/terrence-shannonjr-1.html,55.556,1.15
"Karaban, Alex",PF,UConn,11/11/2002,21.57,"6'7.75""","6'11""",219,"9.25""","8'10.5""",22.5,32,11.23,,3.2,33,36.57,36,33,31,40,54,35,27,39,39,31.4,0.8,13.3,1.4,3.6,5.1,1.5,0.9,0.8,0.8,1.7,4.9,9.9,0.495,2.8,4.4,0.64,2.1,5.5,0.379,1.4,1.6,0.885,0.646,15.2,1.6,4.1,5.8,1.7,1,0.9,0.9,1.9,5.6,5,6.3,1.8,https://www.sports-reference.com/cbb/players/alex-karaban-1.html,60.101,1.875
"Dadiet, Pacome",SF,France,7/27/2005,18.86,"6'9""",,210,,,,,,,,34,37.14,38,65,61,30,18,33,15,18,,14.9,0.4,6.4,0.6,1,1.6,0.3,0.6,0.2,0.9,1.6,2.3,5.2,0.452,1.6,2.7,0.583,0.8,2.5,0.311,1,1.4,0.72,0.58,15.5,1.4,2.4,3.9,0.7,1.4,0.5,2.2,3.9,5.6,6.5,6,3.4,https://www.basketball-reference.com/international/players/pacome-dadiet-1.html,51.923,0.333333333
"Scheierman, Baylor",SF,Creighton,9/26/2000,23.69,"6'7.5""","6'8.25""",202,"9.75""","8'6.5""",27.5,32,10.89,2.94,3.09,35,37.71,26,27,34,38,45,53,41,35,35,36.8,0.9,18.5,0.7,8.3,9,3.9,0.9,0.1,2.2,1.7,6.3,14,0.448,3.1,5.7,0.545,3.1,8.3,0.381,2.8,3.2,0.876,0.643,18.1,0.7,8.1,8.8,3.8,0.9,0.1,2.2,1.7,6.2,5.6,8.1,3.1,https://www.sports-reference.com/cbb/players/baylor-scheierman-1.html,56.071,1.772727273
"Simpson, KJ",PG,Colorado,8/8/2002,21.83,"6'1.5""","6'4.5""",187,"9.25""","7'9.5""",32.5,40.5,10.49,2.98,3.24,36,40.14,51,51,43,36,39,36,25,37,37,35.1,0.9,19.7,0.8,5.1,5.8,4.9,1.6,0.1,2.2,2.5,6.6,13.8,0.475,4.4,8.9,0.497,2.1,4.9,0.434,4.4,5,0.876,0.694,20.2,0.8,5.2,5.9,5,1.6,0.1,2.3,2.6,6.8,9.1,5,5.1,https://www.sports-reference.com/cbb/players/kj-simpson-1.html,55.435,2.227272727
"Jones, Dillon",SF,Weber State,10/29/2001,22.6,"6'5.75""","6'11""",237,"9.25""","8'4.5""",26.5,33.5,11.08,2.82,3.25,37,40.71,47,67,19,32,58,29,33,31,31,37,0.9,20.8,0.8,9,9.8,5.2,2,0.1,3,2.3,6.9,14.2,0.489,5.8,10.8,0.54,1.1,3.4,0.324,5.8,6.8,0.857,0.713,20.2,0.8,8.8,9.5,5.1,1.9,0.1,2.9,2.2,6.7,10.5,3.3,6.6,https://www.sports-reference.com/cbb/players/dillon-jones-1.html,52.465,1.733333333
"Sallis, Hunter",SG,Wake Forest,3/26/2003,21.19,"6'4.75""","6'9.75""",179,"9.5""","8'4.5""",29.5,36,10.82,3.16,3.11,38,42,55,28,50,34,42,37,48,34,34,35.4,0.9,18,0.6,3.4,4.1,2.5,1.1,0.6,1.9,1.8,6.6,13.5,0.487,4.4,8.1,0.542,2.2,5.4,0.405,2.6,3.4,0.783,0.65,18.3,0.6,3.5,4.2,2.5,1.1,0.6,1.9,1.8,6.7,8.2,5.5,3.5,https://www.sports-reference.com/cbb/players/hunter-sallis-1.html,57.037,1.315789474
"Edwards, Justin",SF,Kentucky,12/16/2003,20.47,"6'7.25""","6'10""",209,"8.75""","8'6.5""",28,32.5,12.07,3.22,3.18,39,42.43,28,38,28,42,59,32,70,32,30,21.4,0.5,8.8,1.2,2.2,3.4,0.9,0.9,0.2,0.8,2.2,3.3,6.8,0.486,2.3,4.2,0.564,1,2.7,0.365,1.2,1.5,0.776,0.616,14.8,2,3.7,5.7,1.5,1.5,0.3,1.3,3.7,5.6,7.1,4.5,2.5,https://www.sports-reference.com/cbb/players/justin-edwards-4.html,55.882,1.125
"Mitchell, Ajay",PG,UC Santa Barbara,6/25/2002,21.95,"6'4.5""","6'6.25""",197,"8.5""","8'5""",28,33.5,11.12,2.95,3.11,40,44,44,47,45,44,31,52,45,29,29,31.5,0.8,20,0.2,3.8,4,4,1.2,0.4,2.6,2.6,6.7,13.3,0.504,5.6,10.4,0.535,1.1,2.9,0.393,5.4,6.3,0.858,0.731,22.9,0.2,4.3,4.6,4.6,1.4,0.5,3,3,7.7,11.9,3.3,7.2,https://www.sports-reference.com/cbb/players/ajay-mitchell-1.html,54.511,1.538461538
"Christie, Cameron",SG,Minnesota,7/24/2005,18.87,"6'5.75""","6'8""",190,"8""","8'5.5""",32.5,35.5,11.07,2.95,3.07,41,44.43,34,39,52,45,44,57,40,33,26,30.1,0.8,11.3,0.2,3.4,3.6,2.2,0.6,0.3,1.2,1.6,3.8,9.4,0.403,1.7,4,0.42,2.1,5.4,0.391,1.6,2,0.791,0.58,13.5,0.2,4.1,4.3,2.6,0.7,0.4,1.4,1.9,4.5,4.8,6.5,2.4,https://www.sports-reference.com/cbb/players/cam-christie-1.html,51.596,1.833333333
"Johnson, AJ",SG,Australia,12/1/2004,19.51,"6'5.75""","6'8.5""",167,"8.5""","8'6""",29,38,10.76,2.87,3.15,42,45.57,35,29,41,43,63,38,70,25,,7.9,0.2,2.8,0.3,1,1.3,0.7,0.2,0.1,0.6,0.8,1.1,3,0.355,0.8,1.9,0.396,0.3,1.1,0.286,0.3,0.5,0.538,0.433,12.8,1.4,4.6,5.9,3.2,0.9,0.5,2.7,3.6,5,8.7,5,2.3,https://www.basketball-reference.com/international/players/aj-johnson-1.html,41.667,1.166666667
"Djurisic, Nikola",SF,Serbia,2/23/2004,20.29,"6'8.25""","6'8""",209,"10""","8'6.5""",27.5,34.5,10.63,2.92,3.12,43,46.29,39,46,40,52,17,60,70,26,,30.7,0.8,14.4,0.3,2.4,2.7,3.4,1,0.4,3.2,2.7,4.9,10.8,0.454,3.7,7,0.519,1.2,3.7,0.33,3.4,4.6,0.739,0.647,16.9,0.4,2.8,3.2,4,1.2,0.5,3.8,3.2,5.7,8.2,4.3,5.4,https://www.basketball-reference.com/international/players/nikola-djurisic-1.html,50.926,1.0625
"Sandfort, Payton",SF,Iowa,7/12/2002,21.9,"6'7.5""","6'8""",212,"9""","8'8""",22,28,11.57,2.84,3.43,44,46.71,46,41,75,41,46,54,24,34,34,30.5,0.8,16.4,1.2,5.4,6.6,2.7,0.7,0.4,1.3,2.5,5.3,11.9,0.446,2.5,4.6,0.551,2.8,7.3,0.379,3,3.3,0.911,0.667,19.4,1.4,6.4,7.8,3.2,0.8,0.5,1.5,3,6.3,5.4,8.6,3.9,https://www.sports-reference.com/cbb/players/payton-sandfort-1.html,56.303,2.076923077
"Ingram, Harrison",SF,North Carolina,11/27/2002,21.53,"6'6.5""","7'0.25""",234,"10.25""","8'6.5""",29,35,11.36,2.94,3.17,45,46.71,43,58,51,51,47,48,29,37,36,32.8,0.8,12.2,2.6,6.2,8.8,2.2,1.4,0.4,1.4,1.9,4.4,10.2,0.43,2.6,5.7,0.467,1.8,4.6,0.385,1.6,2.6,0.612,0.583,13.4,2.9,6.8,9.7,2.4,1.5,0.4,1.5,2.1,4.8,6.3,5,2.9,https://www.sports-reference.com/cbb/players/harrison-ingram-1.html,51.961,1.571428571
"Shead, Jamal",PG,Houston,7/24/2002,21.87,"6'1.5""","6'3""",201,"8'75""","8'0""",30,37.5,10.87,2.87,2.94,46,48.14,53,40,35,58,60,47,44,37,37,31.1,0.8,12.9,0.9,2.8,3.7,6.3,2.2,0.5,2,2,4.8,11.7,0.409,3.6,7.9,0.456,1.2,3.8,0.309,2.2,2.8,0.779,0.536,14.9,1,3.2,4.3,7.3,2.5,0.6,2.3,2.3,5.6,9.1,4.4,3.2,https://www.sports-reference.com/cbb/players/jamal-shead-1.html,46.154,3.15
"Ighodaro, Oso",C,Marquette,7/14/2002,21.89,"6'10.75""","6'11""",222,"10""","8'8.5""",35,39.5,11.25,3.12,3.09,47,48.14,57,42,42,37,37,52,70,36,36,32.5,0.8,13.4,2.6,4.3,6.9,2.9,1.1,1.3,1.8,2.2,5.4,9.4,0.576,5.4,9.4,0.58,0,0.1,0,2.5,4.1,0.623,0.693,14.8,2.9,4.8,7.6,3.2,1.2,1.4,2,2.4,6,10.4,0.1,4.5,https://www.sports-reference.com/cbb/players/oso-ighodaro-1.html,57.447,1.611111111
"Hall, PJ",C,Clemson,2/21/2002,22.29,"6'9.75""","7'1.5""",240,"9.75""","8'7.5""",32.5,39.5,11.76,3.01,3.35,48,51,69,55,36,55,61,34,47,36,36,28.9,0.7,18.3,1.6,4.8,6.4,1.4,0.8,1.4,1.9,3.1,6.7,13.7,0.488,5.2,9.1,0.575,1.4,4.6,0.315,3.5,4.5,0.779,0.652,22.8,2,6,8,1.7,1,1.7,2.4,3.9,8.3,11.3,5.7,5.6,https://www.sports-reference.com/cbb/players/pj-hall-1.html,54.015,0.736842105
